iter	Passed	Remaining
654	1534	808
655	1536	805
656	1538	803
657	1540	800
658	1543	798
659	1545	796
660	1547	793
661	1549	791
662	1551	788
663	1553	786
664	1555	783
665	1558	781
666	1560	779
667	1562	776
668	1564	774
669	1566	771
670	1568	769
671	1570	766
672	1573	764
673	1576	762
674	1578	759
675	1580	757
676	1582	754
677	1584	752
678	1586	749
679	1589	747
680	1591	745
681	1593	742
682	1595	740
683	1597	737
684	1599	735
685	1601	733
686	1604	730
687	1606	728
688	1608	726
689	1610	723
690	1612	721
691	1614	718
692	1616	716
693	1619	713
694	1621	711
695	1623	709
696	1625	706
697	1627	704
698	1629	701
699	1631	699
700	1634	696
701	1637	695
702	1639	692
703	1641	690
704	1643	687
705	1645	685
706	1648	683
707	1650	680
708	1652	678
709	1654	675
710	1656	673
711	1658	671
712	1660	668
713	1663	666
714	1665	663
715	1667	661
716	1670	659
717	1672	656
718	1674	654
719	1676	651
720	1678	649
721	1681	647
722	1683	644
723	1685	642
724	1687	640
725	1689	637
726	1691	635
727	1693	632
728	1696	630
729	1698	628
730	1700	625
731	1702	623
732	1704	620
733	1706	618
734	1708	616
735	1710	613
736	1713	611
737	1715	608
738	1717	606
739	1719	604
740	1721	601
741	1723	599
742	1726	597
743	1728	594
744	1730	592
745	1733	590
746	1735	587
747	1737	585
748	1739	582
749	1741	580
750	1744	578
751	1746	575
752	1748	573
753	1750	571
754	1752	568
755	1754	566
756	1756	563
757	1759	561
758	1761	559
759	1763	556
760	1765	554
761	1767	552
762	1769	549
763	1772	547
764	1774	545
765	1776	542
766	1778	540
767	1780	537
768	1782	535
769	1784	533
770	1788	531
771	1790	528
772	1792	526
773	1795	524
774	1797	521
775	1799	519
776	1801	516
777	1803	514
778	1805	512
779	1807	509
780	1809	507
781	1811	505
782	1813	502
783	1815	500
784	1818	498
785	1820	495
786	1823	493
787	1825	491
788	1827	488
789	1829	486
790	1831	483
791	1834	481
792	1836	479
793	1839	477
794	1841	474
795	1843	472
796	1845	470
797	1847	467
798	1849	465
799	1852	463
800	1854	460
801	1856	458
802	1858	455
803	1860	453
804	1862	451
805	1865	448
806	1867	446
807	1869	444
808	1871	441
809	1873	439
810	1875	437
811	1877	434
812	1880	432
813	1882	430
814	1884	427
815	1887	425
816	1889	423
817	1891	420
818	1893	418
819	1895	416
820	1898	413
821	1900	411
822	1902	409
823	1904	406
824	1906	404
